as,bs,ag,bg,N0r,N0s,N0g,rhos,rhog,qc0,qi0
200.0,0.3,50.0,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,51.151,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,52.30200000000001,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,53.45300000000001,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,54.60400000000001,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,55.75500000000002,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,56.90600000000002,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,58.05700000000002,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,59.20800000000003,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,60.35900000000003,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,61.51000000000003,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,62.66100000000004,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,63.81200000000004,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,64.96300000000005,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,66.11400000000005,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,67.26500000000004,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,68.41600000000005,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,69.56700000000006,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,70.71800000000006,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,71.86900000000006,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,73.02000000000007,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,74.17100000000008,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,75.32200000000007,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,76.47300000000007,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,77.62400000000008,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,78.77500000000009,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,79.92600000000009,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,81.07700000000008,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,82.2280000000001,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,83.3790000000001,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,84.5300000000001,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,85.6810000000001,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,86.83200000000011,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,87.98300000000012,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,89.13400000000011,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,90.28500000000011,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,91.43600000000012,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,92.58700000000013,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,93.73800000000013,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,94.88900000000012,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,96.04000000000013,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,97.19100000000014,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,98.34200000000014,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,99.49300000000014,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,100.64400000000015,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,101.79500000000016,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,102.94600000000015,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,104.09700000000015,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
200.0,0.3,105.24800000000016,0.4,0.5,0.5,0.5,0.2,0.4,0.001,0.0006
