rhog,PCP_t1,ACC_t1,LWP_t1,IWP_t1,OLR_t1,OSR_t1,PCP_t2,ACC_t2,LWP_t2,IWP_t2,OLR_t2,OSR_t2,PCP_t3,ACC_t3,LWP_t3,IWP_t3,OLR_t3,OSR_t3,PCP_t4,ACC_t4,LWP_t4,IWP_t4,OLR_t4,OSR_t4,PCP_t5,ACC_t5,LWP_t5,IWP_t5,OLR_t5,OSR_t5,PCP_t6,ACC_t6,LWP_t6,IWP_t6,OLR_t6,OSR_t6
0.1,3.7471554279,0.0863199979,5.0838737488,0.0021726273,240.758682251,896.8100585938,9.7006654739,4.1479549408,4.5859365463,4.1558990479,154.1160430908,785.2816772461,7.2581114769,8.1785850525,3.3773915768,10.9536771774,166.9486846924,808.3519287109,16.7680702209,13.5256023407,6.2727732658,11.7516775131,204.241394043,765.5327758789,17.2996482849,23.8721046448,5.0507102013,9.2141370773,213.2725830078,738.844543457,16.8713703156,31.6702823639,5.5008354187,3.2548453808,232.6736907959,486.527923584
0.1009,3.7471554279,0.0863199979,5.0839152336,0.0021326337,240.7584838867,896.8167724609,9.6912326813,4.1456279755,4.5854673386,4.1587181091,154.110748291,785.4485473633,7.2469553947,8.1745815277,3.3729186058,10.9531793594,166.9112854004,808.5355834961,16.741897583,13.5108308792,6.2698912621,11.7582626343,204.7469024658,765.6647949219,17.3065071106,23.8547821045,5.0535173416,9.232175827,213.3104705811,738.6565551758,16.896736145,31.6616001129,5.5068130493,3.25740695,232.6543579102,486.8096618652
0.1018,3.7471554279,0.0863199979,5.0839519501,0.0020942001,240.7583312988,896.821105957,9.6817064285,4.1433238983,4.5849823952,4.1615209579,154.1055145264,785.6157226562,7.2358322144,8.1705970764,3.3683872223,10.9733371735,166.8722839355,808.9916381836,16.7171211243,13.495059967,6.2644143105,11.7842140198,204.2130584717,765.9254150391,17.31782341,23.8344211578,5.0575094223,9.243057251,213.2487792969,738.4820556641,16.922908783,31.651102066,5.5135288239,3.2618303299,232.6383666992,486.7322692871
0.1027,3.7471554279,0.0863199979,5.0839881897,0.0020572664,240.7581634521,896.8256225586,9.6720552444,4.1410474777,4.5844836235,4.1643071175,154.1003265381,785.7817993164,7.2174754143,8.1656656265,3.3613741398,10.9826984406,166.8319244385,809.2369995117,16.6825370789,13.4754161835,6.2584428787,11.8164386749,204.1856994629,766.3764648438,17.3295135498,23.80900383,5.0617399216,9.2635650635,213.2971343994,738.4829711914,16.9620285034,31.6369495392,5.5235629082,3.2660851479,232.6353607178,486.7881774902
0.1036,3.7471554279,0.0863199979,5.0840234756,0.00202178,240.7579650879,896.8297119141,9.6623926163,4.1387848854,4.5839748383,4.1670985222,154.095199585,785.946472168,7.2068791389,8.1617412567,3.3560550213,11.0104131699,166.7914733887,809.5270996094,16.6583347321,13.4601478577,6.2534403801,11.8358039856,204.1975250244,766.3974609375,17.3357524872,23.7891521454,5.0645771027,9.2830934525,213.2503051758,738.4754638672,16.9889297485,31.6257724762,5.5307226181,3.2700741291,232.6185302734,486.8520202637
0.1045,3.7471554279,0.0863199979,5.0840582848,0.0019876,240.7578277588,896.8305664062,9.6526870728,4.136554718,4.5834479332,4.1698732376,154.0901489258,786.1033935547,7.1951937675,8.1577911377,3.3510725498,11.004652977,166.7507629395,809.8513793945,16.6314716339,13.4441690445,6.2490577698,11.8484601974,204.1905670166,766.751159668,17.3456306458,23.7688217163,5.06879282,9.299905777,213.2628479004,738.4990234375,17.017780304,31.61510849,5.5378012657,3.2740015984,232.638092041,486.684387207
0.1054,3.7471554279,0.0863199979,5.084089756,0.0019547199,240.7577056885,896.8338012695,9.6645202637,4.1352210045,4.6041898727,4.1506876945,154.0852508545,785.795715332,7.211107254,8.1780109406,3.3518805504,10.9664974213,166.7183227539,809.7302856445,16.6308250427,13.4642095566,6.2513575554,11.8351325989,204.2017669678,766.6545410156,17.3514595032,23.7951717377,5.0677652359,9.2760372162,213.2852630615,738.5361938477,16.9761753082,31.6333999634,5.5263261795,3.2667953968,232.6371917725,486.7024841309
0.10629999999999999,3.7471554279,0.0863199979,5.0841207504,0.0019230602,240.7575531006,896.8391113281,9.6553144455,4.1330676079,4.6031908989,4.1538491249,154.0803222656,785.9733276367,7.1926612854,8.1727132797,3.345007658,10.984495163,166.6776275635,810.1411132812,16.6002159119,13.4446201324,6.2454123497,11.8507947922,204.2095031738,766.8326416016,17.3600463867,23.7693157196,5.0719876289,9.292673111,213.2313232422,738.4983520508,17.0133953094,31.6193675995,5.5352940559,3.2721853256,232.6519470215,486.6221618652
0.10719999999999999,3.7471554279,0.0863199979,5.0841503143,0.0018925832,240.7574310303,896.8416748047,9.6457395554,4.130923748,4.6024489403,4.1567544937,154.0754394531,786.1431274414,7.1812934875,8.1686658859,3.3407278061,10.992603302,166.6370239258,810.3656616211,16.5767097473,13.431221962,6.2414593697,11.8767328262,204.1957092285,766.8826904297,17.3677158356,23.752822876,5.0750317574,9.3132686615,213.2229156494,738.5892944336,17.0353603363,31.6107444763,5.5411524773,3.2747738361,232.6156768799,486.6894226074
0.10809999999999999,3.7471554279,0.0863199979,5.0841822624,0.0018632221,240.7572784424,896.8491210938,9.6360025406,4.1287899017,4.6016964912,4.1596627235,154.070602417,786.3109741211,7.1707744598,8.1646509171,3.335919857,10.999297142,166.6004943848,810.6285400391,16.5507888794,13.4155836105,6.2365016937,11.8933601379,204.1559753418,767.404296875,17.3761444092,23.7323818207,5.0782904625,9.3279600143,213.2508392334,738.6560058594,17.0655040741,31.5992889404,5.5490584373,3.278419733,232.6141662598,486.9946594238
